tvg_id,display_name,group_title,group_id
sportsnet-pittsburgh,Sportsnet Pittsburgh,Live,Sports & Outdoors
sportsnet-west,Sportsnet West,Live,Sports & Outdoors
starz-eastern,Starz Eastern,Live,Movies
sundancetv-usa-east,SundanceTV USA East,Live,Movies
syfy-eastern-feed,Syfy Eastern Feed,Live,Sci-Fi & Horror
tbs-east,TBS East,Live,Movies
teennick-eastern,TeenNick Eastern,Live,Kids
telemundo-eastern-feed,Telemundo Eastern Feed,Live,Latino
the-cooking-channel,The Cooking Channel,Live,Lifestyle & Pop Culture
the-tennis-channel,The Tennis Channel,Live,Sports & Outdoors
the-weather-channel,The Weather Channel,Live,News & Opinion
tlc-usa-eastern,TLC USA Eastern,Live,Lifestyle & Pop Culture
tmc-us-eastern-feed,TMC (US) Eastern Feed,Live,Movies
tnt-eastern-feed,TNT Eastern Feed,Live,Movies
travel-us-east,Travel US East,Live,Lifestyle & Pop Culture
trutv-usa-eastern,truTV USA Eastern,Live,Comedy
tsn1,TSN1,Live,Sports & Outdoors
tsn2,TSN2,Live,Sports & Outdoors
tsn3,TSN3,Live,Sports & Outdoors
tsn4,TSN4,Live,Sports & Outdoors
tsn5,TSN5,Live,Sports & Outdoors
turner-classic-movies-usa,Turner Classic Movies USA,Live,Movies
tv-land-eastern,TV Land Eastern,Live,Lifestyle & Pop Culture
tv-one,TV One,Live,Lifestyle & Pop Culture
universal-kids,Universal Kids,Live,Kids
univision-eastern-feed,Univision Eastern Feed,Live,Movies
usa-network-east-feed,USA Network East Feed,Live,Movies
vh1-eastern-feed,VH1 Eastern Feed,Live,Movies
vice,VICE,Live,Music
we-womens-entertainment-eastern,WE (Women's Entertainment) Eastern,Live,Lifestyle & Pop Culture
wpix-new-york-superstation,WPIX New York (SUPERSTATION),Network TV,
yes-network,Yes Network,Network TV,
,Old Dominion Monarchs @ South Florida Bulls (12/17 5:00 PM ET),Live,Sports & Outdoors
,Los Angeles Kings @ Florida Panthers (12/17 7:10 PM ET),Live,Sports & Outdoors
,Utah Mammoth @ Detroit Red Wings (12/17 7:40 PM ET),Live,Sports & Outdoors
,Cleveland Cavaliers @ Chicago Bulls (12/17 8:10 PM ET),Live,Sports & Outdoors
,Memphis Grizzlies @ Minnesota Timberwolves (12/17 8:10 PM ET),Live,Sports & Outdoors
,Carolina Hurricanes @ Nashville Predators (12/17 8:10 PM ET),Live,Sports & Outdoors
,Winnipeg Jets @ St Louis Blues (12/17 8:10 PM ET),Live,Sports & Outdoors
,Louisiana Ragin Cajuns @ Delaware Blue Hens (12/17 8:30 PM ET),Live,Sports & Outdoors
,New Jersey Devils @ Vegas Golden Knights (12/17 10:10 PM ET),Live,Sports & Outdoors
